epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3283,1.06182,0.5488,1.01338,0.99294,1,0.995,0.75684,0.88686,0.54136,0.94825,0.000653061,0.000653061,0.000653061
2,94.7986,0.90171,0.52657,0.94353,1,0.99715,0.995,0.7288,0.98922,0.58553,0.99391,0.00118907,0.00118907,0.00118907
3,139.251,0.85035,0.47843,0.92695,0.99897,1,0.995,0.80169,0.8312,0.45453,0.9519,0.00159309,0.00159309,0.00159309
4,190.999,0.77543,0.48009,0.89684,0.99862,1,0.995,0.77238,0.86871,0.49317,0.94997,0.001406,0.001406,0.001406
5,237.078,0.76893,0.46357,0.89441,0.99872,1,0.995,0.79209,0.81274,0.45303,0.92786,0.001208,0.001208,0.001208
6,279.564,0.74316,0.42697,0.88941,0.99879,1,0.995,0.80964,0.74754,0.4406,0.90705,0.00101,0.00101,0.00101
7,321.977,0.73764,0.42781,0.89179,0.99874,1,0.995,0.79821,0.81738,0.46048,0.92487,0.000812,0.000812,0.000812
8,364.736,0.72592,0.4229,0.87643,0.99877,1,0.995,0.80588,0.79612,0.43521,0.91543,0.000614,0.000614,0.000614
9,407.693,0.70586,0.39469,0.88188,0.99883,1,0.995,0.818,0.77229,0.40588,0.90593,0.000416,0.000416,0.000416
10,450.154,0.68216,0.38751,0.87594,0.99882,1,0.995,0.80446,0.75943,0.40042,0.90434,0.000218,0.000218,0.000218
